<MOH id = 0 >	****** Result for Image/Page 1 ******
<MOH id = 213 >	21 Roiá:ner akwé:kon tehakà:nere' tsi nihsatiéhrha'. Tsi nón:we nienhénhse', ia'nikòn:rare'. 
<MOH id = 214 >	22 Rotirihwanéren raotiio'ténhsera' tho ní:ioht tsi ní:ioht ne waterístaien. Ne ienhotiià:tenhte'/ieniakoià:tenhte' tsi rotirihwanéren.
<MOH id = 217 >	 
<MOH id = 218 >	****** Result for Image/Page 11 ******

<MOH id = 221 >	23 Enhonníheie' né: tsi iah thahatikwé:ni' nahontatié:na'. Tsi niió:re tsi rotinonhwahró:ri ne ká:ti' iosnó:re' enhonthahíta' tsi iontatia'tata'áhstha'.
<MOH id = 222 >	
<MOH id = 223 >	Ísi' Nón:we Sahonwatihronkà:ten'
<MOH id = 224 >	6 Konièn:'a, wahsehrhá:ratste' ken ahsatáthnerenke' akò:ren iakotká:rote'? 
<MOH id = 225 >	2 Ó:nen ken wa'esahá:ra'se' tsi nihsewennò:ten's tánon' wahsia'totáhrhe'ne' tsi nahò:ten' sarihwisa'à:nhon? 
<MOH id = 227 >	3 Ó:nen ká:ti', konièn:'a eh tho nón:we rao'shatstenhserá:kon ienhiaia'ténhawe', ken' ká:ti' nénhsiere' nahsatatia'tontá:ko': tesahsteríhen tánon' tshe'né:ken ne aonsahiátka'we'. 
<MOH id = 228 >	4 Tóhsa satatenaktóthahs naiesén:ta'we', tóhsa tésta'n nahsatoríshen'. 
<MOH id = 229 >	5 É:ren í:seht tsi nón:we waterístaien tsi ní:ioht ne otsi'tèn:'a tóka' ò:ni' oskenón:ton iote'kwenhátie' ne tóhsa rató:rats ahaié:na'.
<MOH id = 230 >	6 Nè:'e ne ronnentóhrha' ahontéweienste' tsi ní:ioht ne tsike'nhontstókhwi tsi ronnónhnhe'. 
<MOH id = 231 >	7 Iah tehotí:ien ne ónhka ahonwatihén:te'se', 
<MOH id = 232 >	8 nok ki' ronteweièn:tons ne raotíkhwa' tsi niwakénhnhes, rontateweiennén:ta's tá:we' nakohserà:ke. 
<MOH id = 233 >	9 Tó: nikarì:wes ne rentóhrha' enhaia'tión:nike'? Kátke ne kèn:'en enhatkétsko'? 
<MOH id = 234 >	10 Rá:ton, "Ken' nikarihwésha enwakí:ta'we'. Tenkanihsnonhsà:seren' tánon' enkatoríshen'." 
<MOH id = 235 >	11 Tsi ká:ti' nikarì:wes ró:ta's, kenténha tenhóhkwa'te' tsi ní:ioht ne ranenhskwaskó:wa nahonenhrénhten'.
<MOH id = 236 >	12 Iah sha'tékena té:ken tsi nihatiia'tò:ten' ne rotirihwanera'ákskon né: tsi tió:konte' ronnowenhtánions.
<MOH id = 237 >	13 Rontkahrokeríkhons tánon' tehonnihsnonhsaieronnionhá:tons naiesa'nikonhrhà:ten'. 
<MOH id = 238 >	14 Tió:konte' nek ronnonhtonniónkwas nahò:ten' io'táksen nahshakotikarón:ni' tsi nón:we nienhón:ne'.
<MOH id = 239 >	15 Ne tiorì:wa iah ohén:ton thaontonthró:ri' ia'tenhonatierónnion'se', tánon' enhon'wén:ta'ne'.
<MOH id = 240 >	16-19 Tsá:ta niiorì:wake ne Roiá:ner rarihwáhswens, tánon' kwah shakorihwáhswens ò:ni' rori'wáhston: Nónhka iontatón:ni tsi niieia'tò:ten', nónhka ionnowenhtánions, nónhka nahshakonáhsehte' ne iah othé:nen teiakohnhí:kon, nónhka ka'nikonhráksen ionnonhtonniónkwas, nónhka teiakosteríhenhs ne wahétken naióntiere, nónhka ne iakonowénhton tsi nahò:ten' iakorihwahnirá:ton tánon' ieiakokontáhkwen, tánon' ne nónhka teierihwenhawíhtha ne karihwaka'ténhtshera tsi na'tehónteron natenró:sera.
 
<MOH id = 242 >	****** Result for Image/Page 12 ******

<MOH id = 247 >	Ne Aiontatahronkà:ten' ne Kanahkwaiesáhtshera'
<MOH id = 248 >	20 Konièn:'a eh tho nà:tser tsi nahò:ten' ia'níha iahró:ris tánon' tóhsa sasa'nikónhrhen tsi nahò:ten' sa'nisténha iesarihonnién:ni. 
<MOH id = 249 >	21 Tió:konte' ne raotiwenna'shòn:'a serià:ne nón:we na'sateweièn:ton. 
<MOH id = 250 >	22 Tsi nahò:ten' iesarihonnién:ni ensaianénhawe' tsi tesatstikahwhenhátie's tánon' ensanónhstate' tsi niwahsón:tes tánon' ensate'nikòn:ron' tsi niwenhníseres. 
<MOH id = 251 >	23 Tsi nahò:ten' iesahró:ri ne shà:ka ne teiohahseráthe'; ensaháharahte' ensahró:ri' tsi ní:ioht tsi tkaié:ri nahsónhnheke'. 
<MOH id = 252 >	24 Enwá:ton' é:ren enhsatatia'tenhá:wihte' ne iah tetiotirihwaié:ri, ne kí:ken iotiniákhon aotiwenna'shòn:'a naiakonahskanékten' ne ronnón:kwe. 
<MOH id = 253 >	25 Tóhsa ká:ti' iesahskanékten tsi niiotiia'táhskats; tóhsa ne akarihón:ni' aiesaié:na' tsi kontkahrokeríkhons.
<MOH id = 254 >	26 Enwá:ton' ne rón:kwe enháhnha'ne' iah tewattókha' tsik nikanó:ron ne kanà:taro, ase'kénh nenhatenahkwaié:sahte' akwé:kon enhóhton'se' tsi nahò:ten' ró:ien.
<MOH id = 255 >	27 Enhskwé:ni' ken ne ó:tsire' áhshren' sentskwe'nà:ke ne iah thaóntsha' ne satsherónnia'? 
<MOH id = 256 >	28 Enhskwé:ni' ken tsi nón:we nikakè:ron ne iohswen'tataríhen's tho nón:we nenhsahtén:ti' ne iah thahsatia'tátsha' sahsi'tà:ke? 
<MOH id = 257 >	29 Ne ká:ti' sha'teiótteron skátne aietsá:rate' akò:ren ró:ne. Ónhka ká:ti' tho nenhátiere' é:so tsi enharonhiá:ken'. 
<MOH id = 258 >	30 Nón:kwe iah thahonwáhswen' ne ranénhskwas tóka' ratonhkária'ks tánon' atennà:tshera' enhanénhsko'. 
<MOH id = 259 >	31 0k ki' tóka' enhonwahá:ra'se', tsá:ta na'teiotià:sere' tsi akwé:kon enshakária'ke' — enháhtka'we' tsi nahò:ten' ró:ien. 
<MOH id = 260 >	32 Tóka' ká:ti' ne rón:kwe enhatenahkwaié:sahte' ne kén:ton iah teho'nikòn:ra. Kwah nek ne enhatatkarón:ni' tsi rónhnhe'. 
<MOH id = 261 >	33 Enhatatshennáksa'te' tánon' enhonwário'; ienwatkón:tahkwe' tsi enhatéhen'.
	 
<MOH id = 263 >	****** Result for Image/Page 13 ******

<MOH id = 267 >	34 Ase'kénh ne roniá:kon tho nón: tiaonhà:'a enthonà:khwen nó:nen tehonwanahkwáhkwen né: tsi roten'kéhwhen, iah thieió:to'kte' tsi ní:ioht tsi ensehshakokária'khse'. 
<MOH id = 268 >	35 Iah thahaié:na' nahò:ten' ahotkária'khse'; iah ni' nahò:ten' ahonwá:ion' thahawerien'tí:io' naonsahotena'khwenná:wenhse' tsi niió:re tsi rona'khwèn:'en.

<MOH id = 270 >	7 konièn:'a sehià:rak tsi nahò:ten' ká:ton tánon' tóhsa nonwén:ton sasa'nikónhrhen tsi nahò:ten' ká:ton tsi nénhsiere'. 
<MOH id = 271 >	2 Tho nà:tser tsi nahò:ten' ká:ton tánon' enhsónhnheke'. Se'nikòn:rarak ítsher tsi ní:ioht tsi konrihonnién:ni tsi ní:ioht tsi se'nikòn:rare' ne skahrà:ke.
<MOH id = 272 >	3 Sateweièn:ton tiótkon tsi ní:ioht tsi konrihonnién:ni, shiá:ton ne serià:ne. 
<MOH id = 273 >	4 Tasateweien'tón:hahs nattokháhtshera' tsi shí:ken ní:ioht ne sahtsì:'a tánon' ne ka'nikonhraientáhtshera' tsi shí:ken ní:ioht nakwáh ákta tsi tsatén:ro. 
<MOH id = 274 >	5 Ne kí:ken enkenikwé:ni' nahsatatia'tohtáhrho' nakò:ren ronnón:kwe rotiniá:kon tánon' kí:ken konnón:kwe teiotiwennatsikhè:tare' tánon' naiesa'nikonhrotá:ko'.
<MOH id = 275 >	
<MOH id = 276 >	Ión:kwe ne Wathonwisen'tsheráksen
<MOH id = 277 >	6-7 Énska ia'ká:ienhte' iewakatkè:tote' tekatsiserá:ton tsi wakenónhsote', é:so nihá:ti wa'khé:ken' ratinekénhteron's ne aró'kho tehonate'nikonhríson, shaià:ta ká:ti' wa'káttoke' tehotenonhwarorì:tonte'. 
<MOH id = 279 >	8-9 eh tho ì:re' ohahà:ke ákta tsi nón:we nikèn:teron kí:ken ión:kwe, o'karahsnéha ó:nen sha'tetiò:karas.
<MOH id = 280 >	10 Eh tho nontá:we' wa'thiatátken', iotatkwatákwen tsi ní:ioht ne wathonwisen'tsheráksen tánon' iote'nikonhronnihátie'.
<MOH id = 281 >	11 Ioianerenhseráksen tánon' iah teiotehenhserá:ien tiótkon ohahà:ke í:we's, 
<MOH id = 282 >	12 tóka' tsi teiothiósate' sewatié:ren ò:ni' tsi iontkehrontáhkhwa' tiohrhá:re'. 
<MOH id = 283 >	13 Iahohnià:sa' ne ranekénhteron tánon' wa'thonoronhkwánion', wa'thotkà:neren' rakahrà:ke,sok wakèn:ron', 
<MOH id = 285 >	14 “Òn:wa wenhniserá:te' ia'kerihwaié:rite' aterennaientahtsherá:kon tsi wa'konwanatia'tátsha'ahte' ne katshé:nen tánon' onkwatá:tenre' no'wà:ron. Ká:ts skátne tetiatskà:hon. 

<MOH id = 287 >	****** Result for Image/Page 14 ******

<MOH id = 291 >	15 Sok ki' takonia'tisákha'. Tewakatonhontsó:ni nakonia'tatshén:ri' tánon' hé:, kén: íhse's!
<MOH id = 292 >	16 Wakatenaktahserón:ni wahsohkwí:io's ionnitskaráhkhwa' né:ne kwah tioiánere' Egypt nitioné:non.
<MOH id = 293 >	17 Iontia'takon'onhstáhkhwa' tánon' nia'té:kon wenhserákon's tewakátion nakenaktà:ke. 
<MOH id = 294 >	18 Ká:ts ká:ti'! Ahsontakwé:kon tsi tentiatatenó:ronhkwe', eniontiatonhnhà:rake' tsi teniontiatatienawà:kon. 
<MOH id = 295 >	19 Iah tehèn:teron ne ionkeniniá:kon, í:non tsi nón:we niehawé:non. 
<MOH id = 296 >	20 É:so iehohwisténha tánon' iah thaonsà:rawe' tsi niió:re teiahia'khserá:ke." 
<MOH id = 297 >	21 Wahohskanékten' ká:ti', tsi na'teiowennatsikhè:tare' tsi ní:ioht tsi ióhthare' tho ki' niaho'nikonhrénhawe'. 
<MOH id = 298 >	22 Thontaiawénhstsi' ká:ti' waháhsere', rohsharí:ne' tsi shí:ken ní:ioht ne teiotinà:kares wa'konwarióhsere', tsi shí:ken ne oskenón:ton iotia'karóntion tsi nón:we tewaterístaien 
<MOH id = 299 >	23 tsi nón:we ne kaién:kwire' tenwáwehste' awerià:ne. Tho ní:ioht ne raónha tsi ní:ioht ne tsítha/otsi'tèn:'a wa'oié:na' a'á:rakon — iah tehattó:kas tsi iótteron tsi rónhnhe'.
<MOH id = 300 >	24 Ó:nen ká:ti' kwaien'okòn:'a kwah tokèn:'en takwatahónhsatat tsi nahò:ten' enkì:ron'. 
<MOH id = 301 >	25 Tóhsa sewathón:tat kí:ken niionkwe'tò:ten' iakáhawe' ne sewé:ri, tóhsa sewaia'tisákha'. 
<MOH id = 302 >	26 Aónha tkarihón:nis é:so nihá:ti ronnón:kwe wa'akokarón:ni' kenheià:thne iehoné:non, só:tsi é:so nihá:ti naiónhsete'. 
<MOH id = 303 >	27 Tóka' tho iénsewe' tsi tkèn:teron, í:se' ò:ni' eh tho ensewaia'tarátie' tsi tionhwentsá:te' ne ronenhé:ion. Ken' niiohahésha ne kenhé:ion.
<MOH id = 304 >	
<MOH id = 305 >	Takonwarénhsaron ne Attokháhtshera'
<MOH id = 306 >	8 Satahónhsatat! Attokháhtshera' tiakò:nonks. Ne tiorì:wa oh naiá:wen'ne' naiesahronkà:ten'.
<MOH id = 307 >	2O Onontoharà:ke ákta tsi tiohá:te' tánon' tsi teiohahó:ken eh tho ítkate'.
<MOH id = 308 >	3 Tsi ieiontaweià:tha' tsi tkaná:taien, tsi tioten'enhrakahrón:ton tiakò:nonks:

<MOH id = 311 >	****** Result for Image/Page 15 ******

<MOH id = 315 >	4 “Kwa’nekén:nis sewakwé:kon tkwèn:nonks ne onhwentsa'kehró:non.
<MOH id = 316 >	5 Áre'khok ken thiekaié:ri tsi nisate'nikonhríson? Satéweienst ahsate'nikonhrísa'.
<MOH id = 317 >	Tesatenonhwarorì:tonte' ken? Satéweienst ne aiesa'nikòn:rohte'.
<MOH id = 318 >	6 Satahónhsatat ne kwah ionehrákwa akewenna'shòn: 'a; tsi nahò:ten' enkonhró:ri' né:ne tkaié:ri.
<MOH id = 319 >	7 Tsi nahòten' ká:ton né:ne tó:kenske; íkhswens ne onó:wen.
<MOH id = 320 >	8 Akwé:kon tsi nahò:ten' entkatá:ti' tó:kenske; iah teka'nikonhrhà:ton iah ni' thaiakoianáksa'te'.
<MOH id = 321 >	9 Nónhka í:non ia'teiekà:nere' akwé:kon ki' iako'nikonhraién:ta's; nónhka akwé:kon iakoterièn:tare' akwé:kon thiewè:ne'.
<MOH id = 322 >	10 Nè:'e será:ko nahò:ten' enkonrihónnien' né:ne iá:we kahwistarà:ken; ne será:ko ne karihonnienníhtshera' tsi ní:ioht ne kwah tioiánere' ohwistanó:ron.
<MOH id = 323 >	11 Ì:'i ne Attokháhtshera', Ì:'i sénha watiánere' tsi ní:ioht ne ohwistanoron'shòn:'a; iah othé:nen tha'tesatonhontsó:ni ne taionkhí:ren'.
<MOH id = 324 >	12 Ì:'i ne Attokháhtshera' wakka'enionhtsherí:io; wátien ne karihonnienníhtshera' tánon' tetia'torehtahtsherí:io.
<MOH id = 326 >	13 Nó:nen enhtskwénienhste' ne Roiá:ner, énhtshwen' ki' ne karihwáksen; íkhswens nakatkáhtho' tsi nihatiweiennò:ten' nónhka iontatón:ni, ò:ni' ne karihwanéren tánon' ne owenna'shòn:'a ne ka'nikonhrhà:ton.
<MOH id = 327 >	14 Eh tho nitiéhrha' tsi nahò:ten' kate'nikonhrón:nis. Wake'nikonhraientà:tskon tánon' ke'shátste'.
<MOH id = 328 >	15 Kheia'takéhnhahs rotinontiiò:shon nahonterihwahténtia'te' ne raotikoráhsera' tánon' ne ratikó:ra kaianerenhserí:io ahatiianerenhserón:ni'.
<MOH id = 329 >	 
<MOH id = 330 >	****** Result for Image/Page 16 ******

<MOH id = 333 >	16 Akwé:kon ne ratikoráhshon tsi ionhwentsá:te' nè:'e ronterihwahtentià:tha' ne raotinakerahserá:kon, akwé:kon tkahtkà:was kaia'takehnháhtshera', ok ò:ni' ne ronaterihón:ton.
<MOH id = 334 >	17 Khenorónhkhwa' ónhka ionkenorónhkhwa' ne ónhka iontia'tí:saks eniontia'tatshén:ri'.
<MOH id = 335 >	18 Kakwatshéhtshera' tánon' kakwenienhstáhtshera' ata'karitéhtshera' tánon' kaianerehstáhtshera' wátien naontakáhtka'we'.
<MOH id = 336 >	19 Tsi nahò:ten' entkón:ion' ne sénha ioiánere' tsi ní:ioht ne kwah tioiánere' aóskon ohwistanó:ron, ok ò:ni' ne kwah tioiánere' aóskon kahwistarà:ken.
<MOH id = 337 >	20 Tsi tekate'khaháhkhwa' né:ne tkarihwaié:ri; nè:'e wakathahitáhkhe' ne aterihwakwarihsionhtsherá:kon,
<MOH id = 338 >	21 atsho'kowáhtshera entekhé:ion' nónhka ionkenorónhkhwa', tentkà:ra'ne' raotinónhskon ne kanoròn:shon.
<MOH id = 339 >	22 Ne Roiá:ner ì:'i ne kwah tiotierenhtáhkwen ratia'tíson, nè:'e tiohén:ton ne raoio'tenhsera'shòn:'a ne wahón:nise' tkénhne.
<MOH id = 340 >	23 Ì:'i tioterénhton ratia'tíson tsi ní:ioht ne tsi naho'tèn:shon rohsa'ánion ne shontontonhwentsatáhsawen'.
<MOH id = 341 >	24 Ó:nen shiwakenakerá:ton tsi niió:re ne kaniatara'kehkó:wa, tánon' áre'kho shikahné:ko ne iah tha'teiohnekahiò:tsis.
<MOH id = 342 >	25 Ó:nen shiwakenakerá:ton tsi niió:re shiiononténion; ok ò:ni' ne ken' nikanontà:sa,
<MOH id = 343 >	26 tánon' ohén:ton ne Rawenní:io shahronhwentsísa' tánon' tsi kahentakè:ron ok ò:ni' ne sewahtsà:na no'kèn:ra'.
<MOH id = 345 >	27 Eh tho ié:ke'skwe' shaható:kenhste' tsi karonhiá:te', tánon' ò:ni' kaniatara'shòn:'a waható:kenhste' tsi tetiatékhen,
<MOH id = 346 >	 
<MOH id = 347 >	****** Result for Image/Page 17 ******

<MOH id = 350 >	28 wahatokenhstánion' tsi ioronhiarátie's tsi karonhiá:te', tánon' wahahnhotón:ko' ne kaniatara'kehkó:wa tiohnaweró:ton ne ohneka'shòn:'a,
<MOH id = 351 >	29 wahshakóhnha'ne' ne ohneka'shòn:'a ne kaniatara'kehkó:wa tóhsa sénha aontakahnekakará:tate' tsik niió:re wahshakoríhon'. Tho ié:ke'skwe' ne shahrón:ni' tsi nón:we nontoríshen' nonhwéntsa'.
<MOH id = 352 >	30 Skátne iákene'skwe', tsi shí:ken ní:ioht ne ì:'i akenón:wa' akénhake', tahí:ion' nia'tewenhniserá:ke natonhnhahráhtshera', tiótkon wakatonhnháhere' tsi iákene's —
<MOH id = 353 >	31 wakatonhnháhere' tsi ionhwentsá:te' tánon' wakerien'tí:io's tsi nonkwá:ti nonkwehshòn:'a.
<MOH id = 354 >	32 Ó:nen ká:ti', ne ken' nitisewaièn:'a takwatahónhsatat, tho na'sewá:ier nahò:ten' enkì:ron' tánon' ensewatonhnhà:ren'.
<MOH id = 355 >	33 Sewatahónhsatat tsi nahò:ten' wa'etshirihónnien'. Sewattókhak tánon' tóhsa sewatié:saht nahò:ten' wesewathón:te'ne'.
<MOH id = 356 >	34 Nónhka enionkwatahónhsatate' tánon' nónhka nia'tewenhniserá:ke ionkehrhá:re' tsi wakatehnhokà:ronte' tsi nón:we nikì:teron eniakotonhnhà:rake'.
<MOH id = 358 >	35 Nónhka eniontia'tatshén:ri' enietshén:ri' ne ionhnhe'ón:we, tánon' ne Roiá:ner enhawerien'tí:io' ne raotirihwà:ke.
<MOH id = 359 >	36 Nónhka iah thaiontia'tatshén:ri' eniontatkarón:ni'; nónhka iónkhswens konwanorónhkhwa' ne kenhé:ion."
<MOH id = 360 >	
<MOH id = 361 >	
<MOH id = 362 >	Attokháhtshera' tánon' Ononhwarorì:ta'
<MOH id = 363 >	9 Attokháhtshera' iakotenonhsón:ni, tsá:ta ní:kon ka'nikahtó:ton ne ioienawà:kon tsi karonhkwe'náhere'.
<MOH id = 364 >	2 Iakotenhnhà:'on katshé:nen akonwário', iekhwahrà:ne', o'nista'shòn:'a teiakoiéhston ne otsì:tsa' ahatihnekì:ra', tánon' wa'eksahrónnion'. 
<MOH id = 365 >	3 Ia'akoténniehte' akohnhahtshera'shòn:'a kaná:takon niakón:ne' tsi nón:we ne akwáh è:neken tiótte' na'takontí:ta'ne' tánon' iaionathonkarón:ti'.
<MOH id = 366 >	 
<MOH id = 367 >	****** Result for Image/Page 18 ******

<MOH id = 370 >	 
<MOH id = 371 >	4 "Tasewatáweia't ne iah tesewattókha' tánon' ne sewanonhwaró:ri!" tánon' wa'ì:ron',
<MOH id = 372 >	5 "Kásewe, ísewak ne akékhwa' tánon' sewahnekì:ra otsì:tsa' nia'té:kon tewatiehstánion. 
<MOH id = 373 >	6 É:ren sewatatia'tenhá:wiht tsi nón:we nihón:ne's ne iah tehonttókha' tánon' entsónhnheke'. Nè:'e sewáhser ne karihonnienníhtshera'."
<MOH id = 375 >	7 Tóka' enhsate'nién:ten' ahsherihwakwaríhsien' ne rontatkweniénhstha' tóka' ò:ni' ne iah tethotirihwaié:ri, kwah nek ne eniesa'nikonhrakaré:wahte'. 
<MOH id = 376 >	8 Tóhsa nonwén:ton sherihwakwaríhsien ne iontatkweniénhstha'; kwah nek ne eniesatahkwáhswen'. Sok ne ronttókha' ahsherihwakwaríhsien kwah nen' nè:'e eniesakwénienhste'. 
<MOH id = 377 >	9 Iah othé:nen tewatsterístha' nahò:ten' ienhsheiatátia'se' ne ronttókha' sénha nen' nè:'e enhonttókha'ne'. Tsi nahò:ten' enhshehró:ri' ne rotirihwakwaríhsion ne karihwí:io sénha ki' enhoti'nikonhrowáhnha'.
<MOH id = 379 >	10 Tóka' sahská:neks ahsattókhake' teiotonhwentsóhon ki' ne ahtskweniénhsthake' ne Roiá:ner. Tóka' ehtshienté:ri ne Roia'tatokénhti, saienà:'on ki' ne ka'nikonhraientáhtshera'.
<MOH id = 380 >	11 Attokháhtshera' ensá:ion' ne ahsonhnhé:son. 
<MOH id = 381 >	12 Í:se' sonhà:'a enhsatshennonnià:tahkwe' tóka' sá:ien ne attokháhtshera', tánon' tóka' iah thahsié:na', í:se' ki' enhsatatkarón:ni'.
<MOH id = 382 >	13 Ononhwarorì:ta' ne shà:ka tsi ní:ioht ne ión:kwe teioterien'takária tánon' iah tekarihonnién:ni, ò:ni' iah teiotehenhserá:ien. "eh tho kéntskote' tsi iotehnhokà:ronte' tsi ionónhsote' tóka' ò:ni' tho nón:we nikéntskote' ne kwah è:neken tiótte' ne kaná:takon, 
<MOH id = 384 >	15 tiakò:nonks nón:kwe ne iakotohetstonhátie', ok ronónha khok raotirihwà:ke tsi nahò:ten' nè:'e ronnonhtonniónkwas:
<MOH id = 385 >	16 “Tasewatáweia't, tsón:kwe ne iah tekarihonnién:ni!" Ok wakèn:ron, kí:ken sewanonhwaró:ri, 
<MOH id = 386 >	17 “Nè:'e kahnekanénhskwen sénha ne teiotsikhè:tare'. Kana'taranénhskwen sénha iawékon."
<MOH id = 387 >	18 Kí:ken nón:kwe ne wa'tiako'nikonhrakén:ni' iah tehonaterièn:tare' tsi enhonníheie' nónhka aonónhskon ieniontáweia'te', ò:ni' ónhka ó:nen ieiakotaweià:ton tho ki' nón:we ieiá:ko tsi nón:we teiakotonhwentsawe'éhston ne kenhé:ion.
<MOH id = 388 >	
<MOH id = 389 >	****** Result for Image/Page 19 ******

<MOH id = 392 >	Solomon Raorihonnienníhtshera'
<MOH id = 393 >	10 Ne ká:ti' kí:ken Solomon raorihonnienníhtshera': Shakotiien'okòn:'a ne ronttokhahtsherí:io enhshakotikwénienhste' ne shakoti'nihó:kon; ronwatiien'okòn:'a ne rotinonhwaró:ri enioti'nikonhráksen' ki' nè:'e shakoti'nisten'ó:kon.
<MOH id = 394 >	2 Kakwatshéhtshera' enhsié:na' tsi nonkwá: ne iah teioterihwakwaríhsion iah sha'tékena té:ken, nok ne karihwakwarihsiónhtshera' ensa'niá:kenhte' tsi sónhnhe'.
<MOH id = 395 >	3 Roiá:ner iah thahathón:tate' ne tiakorihwaié:ri aiontonhkária'ke', nok ne ionkwe'taksen'okòn:'a iah thahatiié:na' nahò:ten' tehonatonhontsó:ni.
<MOH id = 396 >	4 Awentoráhsera' ensentenhstéhten', nok ne ioio'tenhserahní:ron ensakwatshéhsten'.
<MOH id = 397 >	5 Ónhka ie'nikonhraweiénhen iakote'nikonhríson enierò:roke' kaienthóhsera' nó:nen iotateweiennentà:'on; iotéha aiakotà:sheke' tsi nikahá:wi ieienthókwas.
<MOH id = 398 >	6 Tiakorihwaié:ri enieié:na' kaia'tateríhtshera'. Ne rotirihwanera'ákskon raotiwenna'ó:kon ronhséhtha' tsi ronteriiohseranòn:we tsi nihonnonhnhò:ten'.
<MOH id = 399 >	7 Enhonwenehià:rake' ne thotirihwaié:ri tsi nè:'e ní:ioht ne kaia'tateríhtshera', nok ne iah tetionkwe'taié:ri iosnó:re' enshonwatiia'ta'nikónhrhen'.
<MOH id = 400 >	8 Ón:kwe ne iako'nikonhrí:io enieié:na' nahò:ten' ne tkaié:ri eniontathró:ri'. Ón:kwe ne teiotenonhwarorì:tonte' tsi rontá:tis enhontatkarón:ni'.
<MOH id = 401 >	9 Ón:kwe tiakorihwaié:ri skén:nen tsi ronnonhtónnions tánon' enhotiia'tahnirónhake' nok ne iah tethotirihwaié:ri enhatiia'tató:ken'ne'.
<MOH id = 402 >	10 Ónhka nenieri'wáhsehte' ne karihwakwarihsiónhtshera' ne tkáhas ne taion'nikonhrhá:ren', nok ne ónhka ne orihwí:io ionthró:ris ne nè:'e iakoió'te' ne skén:nen.
<MOH id = 403 >	
<MOH id = 404 >	****** Result for Image/Page 20 ******

<MOH id = 407 >	11 Tiakorihwaié:ri akowenna'shòn:'a tho ní:ioht tsi ní:ne tiohné:kote' ionhnhe'ón:we, nok ne iah tetionkwe'taié:ri akowenna'shòn:'a ionhséhtha' tsi ionteriiohseranòn:we tsi niiakonhnhò:ten.
<MOH id = 408 >	12 Kahswénhtshera' nek tkáhas ka'nikonhrharáhtshera', nok kanoronhkhwáhtshera' tso'nikónhrhens akwé:kon nahò:ten' iako'nikonhraksà:tha'.
<MOH id = 409 >	13 Ón:kwe ne iako'nikonhrowá:nen karihwí:io's tsi enhontá:ti', nok ne iah tehoti'nikonhraientà:tskon teiotonhwentsóhon nahonwatihré:wahte'.
<MOH id = 410 >	14 Ne ronttókha akwé:kon enhatiié:na ne karihonnienníhtshera tsi ní:kon enhatikwé:ni, nok ne rotinonhwaró:ri nó:nen enthontá:ti, ka'nikonhrharáhtshera iah í:non tétewe's.
<MOH id = 411 >	15 Atsho'kowáhtshera' iakoia'tanónhstats ne rotikwátshe'; kententéhtshera' ehtà:ke iakaón:nis ne iakó:ten.
<MOH id = 412 >	16 Tsi eniakónhnheke' ne teniakoterihwa'serákwahse' ne kaio'tenhserí:io iakoió'te', nok ne karihwáksen nek tkáhas sénha é:so karihwáksen.
<MOH id = 413 >	17 Ón:kwe ne eniontahónhsatate' naiontaterihwakwaríhsien' eniakónhnheke', nok ónhka iah thaierihwaié:na' tsi teie'nióhsken's, iótteron ki' ne raotirihwà:ke.
<MOH id = 414 >	18 Ónhka ionhséhtha' atatshwénhsera' iakonó:wen. Ónhka teionterihwarenià:tha' tánon' teierihwenhawíhtha' iakononhwaró:ri ki'.
<MOH id = 415 >	19 Sénha é:so enhsatá:ti', sénha watié:sen nahserihwanéra'ke'. Tóka' sate'nikonhrattókha', tha'tenhsató:tate'.
<MOH id = 416 >	20 Ne tiakonkwe'taié:ri, akowenna'shòn:'a ne shà:ka ne aóskon kahwistarà:ken; nok ne iakorihwanera'ákskon tsi ní:ioht tsi ronnonhtónnions iah sha'tékena té:ken.
<MOH id = 417 >	21 Tiakorihwaié:ri akowenna'shòn:'a é:so eniakoia'takéhnha' nón:kwe, ok ní:se' enhskwé:ni' enhsatatáhsehte' tsi nisanonhwaró:ri.
<MOH id = 418 >	22 Roiá:ner raoia'tateríhtshera' enión:ni' naiesakwátshe'ne' tánon' iah othé:nen teká:ien ne aiesa'nikonhráksa'te'.
<MOH id = 419 >	23 Teiotenonhwarorì:tonte' naiontonhnhà:ren' ne thé:nen naióntiere' ne wahétken. Nón:kwe roti'nikonhrowá:nen ronon'wéskwani nahò:ten' wattokhahtsherí:io.
<MOH id = 420 >	 
<MOH id = 421 >	****** Result for Image/Page 21 ******

<MOH id = 424 >	24 Ne tionkwe'taié:ris ratiié:nas nahò:ten' ronhská:neks. Nok ne iah tetionkwe'taié:ris ne enhatiié:na' nahò:ten' kwah aonhà:'a thatitshà:nis.
<MOH id = 425 >	25 Nó:nen tekaweratá:ses éntewe', ówera' ienhotiia'ténhawe' ne iah tethotirihwaié:ri iah káneka thenshonnè:sheke', ok ne thotirihwaié:ri tiótkon skén:nen enhonnónhnheke'.
<MOH id = 426 >	26 Tóhsa nonwén:ton rentóhrha' ahiaió'tenhse'; tho ní:ioht tsi tenhiaterien'takáriahte' tsi ní:ioht toseráhtha'/iotsi'tsátken aió:ra'ne' senawirà:ke tóka' ò:ni' taiesaièn:kwaro'se' ne skahrà:ke.
